"ID","Key","Value"
"id-d78e8cc1492d47c2851e1a2407e9959f","Code","E.F"
"id-d78e8cc1492d47c2851e1a2407e9959f","Name (en)","Making goods and services available"
"id-d78e8cc1492d47c2851e1a2407e9959f","Level","0"
"id-99945c02cf37445f9438e8df3c96c189","Name (en)","Transport capacity"
"id-99945c02cf37445f9438e8df3c96c189","Level","0"
"id-afa6bf1f62714f499a365d33d9c4eb15","Code","C.F"
"id-afa6bf1f62714f499a365d33d9c4eb15","Name (en)","Transport energy"
"id-afa6bf1f62714f499a365d33d9c4eb15","Level","0"
"id-e0854c44257440f5a95ccea796d1c9df","Name (en)","Transport capacity"
"id-e0854c44257440f5a95ccea796d1c9df","Level","0"
"id-32116fcec50345729bce0bdefc698fb0","Name (en)","Grid operator"
"id-32116fcec50345729bce0bdefc698fb0","Documentation (en)","The grid operator organization being a company designated by law for the management of one or more energy networks."
"id-a1c684cf872e4ac2874a7873f89202f3","Name (en)","Energy attribution"
"id-a1c684cf872e4ac2874a7873f89202f3","Level","0"
"id-e3300871d87f443f845fe4fc1b663304","Name (en)","Data consumer"
"id-f681c3af188046b4a13de539df141ece","Name (en)","Reconstruction energy grid"
"id-f681c3af188046b4a13de539df141ece","Level","0"
"id-1c1d6f6d910a432f94a16f80147f0e4b","Code","C.B"
"id-1c1d6f6d910a432f94a16f80147f0e4b","Name (en)","Reconstruct energy grids"
"id-1c1d6f6d910a432f94a16f80147f0e4b","Level","0"
"id-ba2b17f26c5344669537a70443b99f3b","Code","C"
"id-ba2b17f26c5344669537a70443b99f3b","Name (en)","Manage energy grids"
"id-ba2b17f26c5344669537a70443b99f3b","Documentation (en)","The ability to manage energy networks in accordance with the legal tasks assigned to a grid operator."
"id-4e866aa11ca343f9a4235bed4c183b67","Name (en)","Infrastructure / subsurface manager"
"id-75961b52ab1648d98235544346ff7abc","Name (en)","Transport capacity"
"id-75961b52ab1648d98235544346ff7abc","Level","0"
"id-c3e0cc9beea642ab8581dd5437c94c67","Name (en)","Grid operator data product"
"id-c3e0cc9beea642ab8581dd5437c94c67","Level","0"
"id-736051","Level","1"
"id-736051","Name (en)","Purchase product"
"id-2ca371bffe3f4b23a3360d398582efa6","Code","C.A.3"
"id-2ca371bffe3f4b23a3360d398582efa6","Name (en)","Integrate connection into energy grid"
"id-2ca371bffe3f4b23a3360d398582efa6","Level","1"
"id-736356","Code","E.1"
"id-736356","Level","1"
"id-736356","Name (en)","Develop and control business direction"
"id-736356","Documentation (en)","The ability to provide direction to the company by determining a mission, vision and strategy, reaching agreements with stakeholders, managing the transformation of the organization and monitoring continuity and compliance."
"id-2349e36106324c0a941e6cd981c2f42c","Level","1"
"id-2349e36106324c0a941e6cd981c2f42c","Code","C.C.2"
"id-2349e36106324c0a941e6cd981c2f42c","Name (en)","Manage development energy network through network adjustment"
"id-f9b2a17a26e84f049b0ce7dbb08bd208","Level","1"
"id-f9b2a17a26e84f049b0ce7dbb08bd208","Code","C.G.2"
"id-f9b2a17a26e84f049b0ce7dbb08bd208","Name (en)","Facilitate energy market for energy exchange"
"id-31f2b2db48fb4356b1769a746840f5c7","Level","1"
"id-31f2b2db48fb4356b1769a746840f5c7","Code","C.E.3"
"id-31f2b2db48fb4356b1769a746840f5c7","Name (en)","Use capacity service"
"id-2b811e21b793413fb6d1eb4768d5bdec","Level","1"
"id-2b811e21b793413fb6d1eb4768d5bdec","Code","C.F.3"
"id-2b811e21b793413fb6d1eb4768d5bdec","Name (en)","Measure energy transport"
"id-e66a8647b8d540b7b13b5a14fc22f54f","Level","1"
"id-e66a8647b8d540b7b13b5a14fc22f54f","Code","C.C.1"
"id-e66a8647b8d540b7b13b5a14fc22f54f","Name (en)","Serve customer for grid adjustment"
"id-736162","Level","1"
"id-736162","Name (en)","Digital product"
"id-736094","Level","1"
"id-736094","Name (en)","Process and data"
"id-718834","Code","E.4"
"id-718834","Level","1"
"id-718834","Name (en)","Develop and maintain digital technology"
"id-718834","Documentation (en)","The ability to develop and manage digital products with information and operational technologies.  This concerns information technology (IT) and (central) operational technology (OT, also known as the IT of the OT). It also includes the digital workplace. (IT4IT value delivery). Please note: The secondary grid components are not in scope and are managed in the domain 'C.3 - Managing the development and maintenance of energy networks'."
"id-6907e2b137d146ea9f19c16051f32c19","Level","1"
"id-6907e2b137d146ea9f19c16051f32c19","Code","C.F.4"
"id-6907e2b137d146ea9f19c16051f32c19","Name (en)","Transport energy"
"id-2b38f8b279aa40c69915fd3bf8d8562b","Code","C.A.5"
"id-2b38f8b279aa40c69915fd3bf8d8562b","Name (en)","Include connection in energy transport control"
"id-2b38f8b279aa40c69915fd3bf8d8562b","Level","1"
"id-718173","Code","C.6"
"id-718173","Level","1"
"id-718173","Name (en)","Facilitate the energy market"
"id-718173","Documentation (en)","The ability to exchange data with energy market parties, completely and at the right time, to guarantee market functionality."
"id-6fe1a377039f4d3b911ab5f0dbd11725","Level","1"
"id-6fe1a377039f4d3b911ab5f0dbd11725","Code","C.G.1"
"id-6fe1a377039f4d3b911ab5f0dbd11725","Name (en)","Measure energy exchange"
"id-729659","Level","1"
"id-729659","Name (en)","Measurement"
"id-736114","Level","1"
"id-736114","Name (en)","Direction"
"id-718833","Code","E.5"
"id-718833","Level","1"
"id-718833","Name (en)","Obtain goods and services"
"id-718833","Documentation (en)","The ability to obtain goods and services. This also includes obtaining materials."
"id-718832","Code","E.7"
"id-718832","Level","1"
"id-718832","Name (en)","Manage finance"
"id-718832","Documentation (en)","The ability to manage finances."
"id-ec7f4984a95c467f904c205dfe637e0c","Code","C.D1.3"
"id-ec7f4984a95c467f904c205dfe637e0c","Level","1"
"id-ec7f4984a95c467f904c205dfe637e0c","Name (en)","Include replacement due to maintenance in energy transport management"
"id-718167","Code","C.3"
"id-718167","Level","1"
"id-718167","Name (en)","Manage the development and maintenance of energy grids"
"id-718167","Documentation (en)","The ability to develop energy grids and keep them available at the agreed level, to ensure the energy grid continuously meets the set requirements. E.g. the development of primary, secondary, tertiary and telecom net components."
"id-736543","Code","E.2"
"id-736543","Level","1"
"id-736543","Name (en)","Develop and manage processes and data"
"id-736543","Documentation (en)","The ability to develop and manage processes and data."
"id-7ef7b402236f45a7846465e519881954","Code","C.B.3"
"id-7ef7b402236f45a7846465e519881954","Name (en)","Perform reconstruction work"
"id-7ef7b402236f45a7846465e519881954","Level","1"
"id-00f8f623948b414482d76d260ad17e71","Level","1"
"id-00f8f623948b414482d76d260ad17e71","Code","C.E.2"
"id-00f8f623948b414482d76d260ad17e71","Name (en)","Measure transport capacity"
"id-7008588f520a4d81b8f2cb6294e9ec57","Level","1"
"id-7008588f520a4d81b8f2cb6294e9ec57","Code","C.C.4"
"id-7008588f520a4d81b8f2cb6294e9ec57","Name (en)","Include grid adjustment in energy transport management"
"id-0c5d7c53cbe845daa9df31d1a5a55eb2","Level","1"
"id-0c5d7c53cbe845daa9df31d1a5a55eb2","Code","C.E.1"
"id-0c5d7c53cbe845daa9df31d1a5a55eb2","Name (en)","Serve customer for capacity service"
"id-9529964d8f304ffaacd780b6dd53bf2b","Code","C.B.1"
"id-9529964d8f304ffaacd780b6dd53bf2b","Name (en)","Serve customer for reconstruction"
"id-9529964d8f304ffaacd780b6dd53bf2b","Level","1"
"id-4f3301dfa1664080af2b187bad518039","Level","1"
"id-4f3301dfa1664080af2b187bad518039","Code","C.D2.5"
"id-4f3301dfa1664080af2b187bad518039","Name (en)","Manage maintenance energy grid through disturbance recovery"
"id-729558","Level","1"
"id-729558","Name (en)","Energy transport"
"id-39472cb2840a4f849d76c41db40afa9d","Level","1"
"id-39472cb2840a4f849d76c41db40afa9d","Code","C.D2.4"
"id-39472cb2840a4f849d76c41db40afa9d","Name (en)","Perform disturbance recovery work"
"id-718824","Code","E.6"
"id-718824","Level","1"
"id-718824","Name (en)","Manage company buildings and make facilities available"
"id-718824","Documentation (en)","The ability to manage company buildings and facilities. Please note this concerns buildings and facilities that are not part of the grid; technical buildings are an asset category (tertiary assets) and are managed in domain 3. It also includes the physical workplace. This includes: office buildings, warehouses, training centers, ..."
"id-729665","Level","1"
"id-729665","Name (en)","Energy market"
"id-68381c3d9ae14fd0b8b696a52f2de6b0","Code","C.A.2"
"id-68381c3d9ae14fd0b8b696a52f2de6b0","Name (en)","Incorporate connection into market processes"
"id-68381c3d9ae14fd0b8b696a52f2de6b0","Level","1"
"id-718171","Code","C.1"
"id-718171","Level","1"
"id-718171","Name (en)","Serve customers"
"id-718171","Documentation (en)","The ability to optimally serve our customers in their use of our products and services"
"id-df46691b104545de95d75ca67615459a","Level","1"
"id-df46691b104545de95d75ca67615459a","Code","C.D2.1"
"id-df46691b104545de95d75ca67615459a","Name (en)","Serve customer for disturbance recovery"
"id-729578","Level","1"
"id-729578","Name (en)","Energy grid"
"id-718836","Code","E.3"
"id-718836","Level","1"
"id-718836","Name (en)","Recruit and manage human capital"
"id-718836","Documentation (en)","The ability to recruit employees, keep them employable and organize them in an organizational structure."
"id-82d8e4b01ecb4da8912b4ca98a75027e","Level","1"
"id-82d8e4b01ecb4da8912b4ca98a75027e","Code","C.G.3"
"id-82d8e4b01ecb4da8912b4ca98a75027e","Name (en)","Compensate for grid losses"
"id-b15fafd29d4a4b8e83048dc8dacfceee","Code","C.B.2"
"id-b15fafd29d4a4b8e83048dc8dacfceee","Name (en)","Manage reconstruction of the energy network"
"id-b15fafd29d4a4b8e83048dc8dacfceee","Level","1"
"id-4208cd27e3aa49fa88a23b224aafbd4b","Code","C.A.4"
"id-4208cd27e3aa49fa88a23b224aafbd4b","Name (en)","Perform connection work"
"id-4208cd27e3aa49fa88a23b224aafbd4b","Level","1"
"id-2a9402a0a2ec46a684101d5bfe875568","Level","1"
"id-2a9402a0a2ec46a684101d5bfe875568","Code","C.F.1"
"id-2a9402a0a2ec46a684101d5bfe875568","Name (en)","Serve customer for energy transport"
"id-736039","Level","1"
"id-736039","Name (en)","Company building"
"id-718169","Code","C.5"
"id-718169","Level","1"
"id-718169","Name (en)","Perform work on energy grids"
"id-718169","Documentation (en)","The ability to perform work on energy grids, like building, replacement and maintenance, in an efficient and predictable manner."
"id-729632","Level","1"
"id-729632","Name (en)","Customer"
"id-729609","Level","1"
"id-729609","Name (en)","Work"
"id-599af46af31e479f8bfb4b1417eb2586","Level","1"
"id-599af46af31e479f8bfb4b1417eb2586","Code","C.D2.2"
"id-599af46af31e479f8bfb4b1417eb2586","Name (en)","Measure disturbances energy transport and grids"
"id-3cae4a6f251345959f0d3dfe9cd92d25","Code","C.D1.2"
"id-3cae4a6f251345959f0d3dfe9cd92d25","Level","1"
"id-3cae4a6f251345959f0d3dfe9cd92d25","Name (en)","Perform maintenance work"
"id-736067","Level","1"
"id-736067","Name (en)","Worker"
"id-0fb710c35c104ecca417a3933147700a","Level","1"
"id-0fb710c35c104ecca417a3933147700a","Code","C.C.3"
"id-0fb710c35c104ecca417a3933147700a","Name (en)","Perform netwerk adjustment work"
"id-736011","Level","1"
"id-736011","Name (en)","Finance"
"id-74e7083749184261b8309df3c4b4d0b3","Level","1"
"id-74e7083749184261b8309df3c4b4d0b3","Code","C.D2.3"
"id-74e7083749184261b8309df3c4b4d0b3","Name (en)","Restore energy transport"
"id-e5bb647d86264d55a944a5b61777d634","Level","1"
"id-e5bb647d86264d55a944a5b61777d634","Code","C.H.1"
"id-e5bb647d86264d55a944a5b61777d634","Name (en)","Serve customer for data product"
"id-bd41e33fa9074c179c36bd1618686f8a","Level","1"
"id-bd41e33fa9074c179c36bd1618686f8a","Code","C.E.4"
"id-bd41e33fa9074c179c36bd1618686f8a","Name (en)","Facilitate energy market for capacity service"
"id-7dc5fb527c2d46c29d7608b5cfd63af7","Code","C.A.1"
"id-7dc5fb527c2d46c29d7608b5cfd63af7","Name (en)","Serve customer for connection"
"id-7dc5fb527c2d46c29d7608b5cfd63af7","Level","1"
"id-718170","Code","C.4"
"id-718170","Level","1"
"id-718170","Name (en)","Measure energy transport and energy grids"
"id-718170","Documentation (en)","The ability to measure energy transport and energy grids and to make these measurements available so other capabilities can use these measurements."
"id-3b355716702e4bdfb0d2472e2b321e43","Level","1"
"id-3b355716702e4bdfb0d2472e2b321e43","Code","C.F.2"
"id-3b355716702e4bdfb0d2472e2b321e43","Name (en)","Facilitate energy market for energy transport"
"id-7cac0a3a422641608482ef27adc86398","Level","1"
"id-7cac0a3a422641608482ef27adc86398","Code","C.H.2"
"id-7cac0a3a422641608482ef27adc86398","Name (en)","Deliver data product"
"id-d228f50049f44e8cb023c09172545867","Code","C.D1.4"
"id-d228f50049f44e8cb023c09172545867","Level","1"
"id-d228f50049f44e8cb023c09172545867","Name (en)","Serve customer during maintenance"
"id-70db0c95ff154f3ea7fa638fed327f07","Code","C.D1.1"
"id-70db0c95ff154f3ea7fa638fed327f07","Level","1"
"id-70db0c95ff154f3ea7fa638fed327f07","Name (en)","Manage maintenance energy network through maintenance"
"id-0e36d9180b7646b2a78ef70b377e4ec5","Code","C.B.4"
"id-0e36d9180b7646b2a78ef70b377e4ec5","Name (en)","Include reconstruction in energy transport control"
"id-0e36d9180b7646b2a78ef70b377e4ec5","Level","1"
"id-718168","Code","C.2"
"id-718168","Level","1"
"id-718168","Name (en)","Transport energy"
"id-718168","Documentation (en)","The ability to bring together, balance and ensure continuity of energy supply and consumption, so that customers receive energy within the applicable requirements."
"id-8e3b49b5623d4f0d9b970f7e453fae5e","Code","C.A.1.2"
"id-8e3b49b5623d4f0d9b970f7e453fae5e","Name (en)","Agree connection"
"id-8e3b49b5623d4f0d9b970f7e453fae5e","Level","2"
"id-729646","Level","2"
"id-729646","Name (en)","Customer agreement"
"id-729684","Level","2"
"id-729684","Name (en)","Connection"
"id-a7c16b8c96bb4fb39381d3aa3fb3f6a4","Level","2"
"id-a7c16b8c96bb4fb39381d3aa3fb3f6a4","Code","C.E.1.3"
"id-a7c16b8c96bb4fb39381d3aa3fb3f6a4","Name (en)","Compensate capacity service"
"id-711337","Code","C.4.1"
"id-711337","Level","2"
"id-711337","Name (en)","Obtain measurements of energy transport and energy grids"
"id-711337","Documentation (en)","The ability to make measurements of energy transport and energy grids available."
"id-5a28a27946d649f09ac6823030b9e8c1","Level","2"
"id-5a28a27946d649f09ac6823030b9e8c1","Code","C.D2.1.1"
"id-5a28a27946d649f09ac6823030b9e8c1","Name (en)","Serve customer for disturbance recovery"
"id-736554","Code","E.3.1"
"id-736554","Level","2"
"id-736554","Name (en)","Develop and manage employee strategy and plans"
"id-736554","Documentation (en)","The ability to establish and manage employee strategy and plans."
"id-736292","Code","E.4.3"
"id-736292","Level","2"
"id-736292","Name (en)","Deliver digital products"
"id-736292","Documentation (en)","The ability to deliver digital products. (IT4IT - Request to Fulfill)"
"id-736086","Level","2"
"id-736086","Name (en)","Human resource strategy"
"id-729592","Level","2"
"id-729592","Name (en)","Energy grid"
"id-c47f5247936048af9e7eddf94b3098b1","Code","C.A.1.1"
"id-c47f5247936048af9e7eddf94b3098b1","Name (en)","Serve customer for connection"
"id-c47f5247936048af9e7eddf94b3098b1","Level","2"
"id-49e145ebef4545fa800f0f96721e96c5","Level","2"
"id-49e145ebef4545fa800f0f96721e96c5","Code","C.B.4.1"
"id-49e145ebef4545fa800f0f96721e96c5","Name (en)","Include reconstruction in energy transport control"
"id-abdd031a4fbe43d693f29a9e25d27359","Level","2"
"id-abdd031a4fbe43d693f29a9e25d27359","Code","C.H.2.1"
"id-abdd031a4fbe43d693f29a9e25d27359","Name (en)","Deliver data product"
"id-736174","Level","2"
"id-736174","Name (en)","Digital product instance"
"id-736081","Level","2"
"id-736081","Name (en)","Worker performance"
"id-736374","Code","E.7.1"
"id-736374","Level","2"
"id-736374","Name (en)","Create and monitor finance strategy and plans"
"id-736374","Documentation (en)","The ability to establish, monitor and report on financial strategy and plans."
"id-718342","Code","C.1.4"
"id-718342","Level","2"
"id-718342","Name (en)","Limit revenue loss"
"id-718342","Documentation (en)","The ability to detect revenue loss, identify causes and remove or repair them. This applies to both customer and grid operator and results in a fair distribution of costs and revenue."
"id-b0803a829e314e89891c4b9204d06c1b","Level","2"
"id-b0803a829e314e89891c4b9204d06c1b","Code","C.F.1.1"
"id-b0803a829e314e89891c4b9204d06c1b","Name (en)","Serve customer for energy transport"
"id-729661","Level","2"
"id-729661","Name (en)","Measurement"
"id-736059","Level","2"
"id-736059","Name (en)","Purchase agreement"
"id-736053","Level","2"
"id-736053","Name (en)","Purchasing strategy"
"id-525d3fbecd804b86bfd6029bef07ee42","Level","2"
"id-525d3fbecd804b86bfd6029bef07ee42","Code","C.D1.1.1"
"id-525d3fbecd804b86bfd6029bef07ee42","Name (en)","Determine and manage maintenance of the energy network"
"id-a5585b5c97ac4c7f8b9860799ab8dc8d","Level","2"
"id-a5585b5c97ac4c7f8b9860799ab8dc8d","Code","C.F.1.2"
"id-a5585b5c97ac4c7f8b9860799ab8dc8d","Name (en)","Agree energy transport"
"id-718331","Code","C.6.4"
"id-718331","Level","2"
"id-718331","Name (en)","Enable grid operator data distribution"
"id-718331","Documentation (en)","The ability to facilitate grid operator data sharing. In the BAS/MFF model, a distinction is made between “executing market (system) processes” and “sharing data”. The law recognizes four types of data sharing: for market (system) processes, data sharing on request (consent), data requests from third parties and open data. This capability concerns data sharing on request (consent), data requests from third parties and open data."
"id-718345","Code","C.6.2"
"id-718345","Level","2"
"id-718345","Name (en)","Manage market data"
"id-718345","Documentation (en)","The ability to managing market data (data for the purpose of market processes) for facilitating the energy market."
"id-718379","Code","C.2.2"
"id-718379","Level","2"
"id-718379","Name (en)","Restore energy transport"
"id-718379","Documentation (en)","The ability to correct anomalies in energy transport."
"id-718341","Code","C.4.2"
"id-718341","Level","2"
"id-718341","Name (en)","Distribute measurements of energy transport and energy grids"
"id-718341","Documentation (en)","The ability to process measurements of energy transport and energy grids and make them availabe to other capabilities."
"id-736126","Level","2"
"id-736126","Name (en)","Risk"
"id-ec8eb798cc9140e8aef5e8e57de55fef","Level","2"
"id-ec8eb798cc9140e8aef5e8e57de55fef","Code","C.E.3.1"
"id-ec8eb798cc9140e8aef5e8e57de55fef","Name (en)","Determine transport capacity problems"
"id-718334","Code","C.1.2"
"id-718334","Level","2"
"id-718334","Name (en)","Acquire and manage customer agreements"
"id-718334","Documentation (en)","The ability to enter into and manage agreements with customers."
"id-729563","Level","2"
"id-729563","Name (en)","Energy transport"
"id-55dd662dd46a4c2aabbe3c8ef69fce7d","Level","2"
"id-55dd662dd46a4c2aabbe3c8ef69fce7d","Code","C.F.2.1"
"id-55dd662dd46a4c2aabbe3c8ef69fce7d","Name (en)","Integrate transport rights into market processes"
"id-988fb4a9ad234cd8abdcd75f677cc82e","Level","2"
"id-988fb4a9ad234cd8abdcd75f677cc82e","Code","C.F.4.2"
"id-988fb4a9ad234cd8abdcd75f677cc82e","Name (en)","Monitor and control energy transport"
"id-729611","Level","2"
"id-729611","Name (en)","Work resource"
"id-729570","Level","2"
"id-729570","Name (en)","Transport planning"
"id-736533","Code","E.3.3"
"id-736533","Level","2"
"id-736533","Name (en)","Retain employees"
"id-736533","Documentation (en)","The ability to retain employees"
"id-729622","Level","2"
"id-729622","Name (en)","Work activity"
"id-718815","Code","E.1.1"
"id-718815","Level","2"
"id-718815","Name (en)","Formulate and guard strategy"
"id-718815","Documentation (en)","The ability to determine a strategy that realizes mission and vision through strategic goals."
"id-a172ce336a694980866d3b1546480ed7","Level","2"
"id-a172ce336a694980866d3b1546480ed7","Code","C.E.2.1"
"id-a172ce336a694980866d3b1546480ed7","Name (en)","Measure adjustable power"
"id-debe7c72713b4120ae7fe56b57a270aa","Level","2"
"id-debe7c72713b4120ae7fe56b57a270aa","Code","C.B.1.3"
"id-debe7c72713b4120ae7fe56b57a270aa","Name (en)","Invoice and collect reconstruction"
"id-736041","Level","2"
"id-736041","Name (en)","Company building"
"id-729629","Level","2"
"id-729629","Name (en)","Work order"
"id-729585","Level","2"
"id-729585","Name (en)","Grid quality"
"id-711278","Code","C.5.3"
"id-711278","Level","2"
"id-711278","Name (en)","Execute work"
"id-711278","Documentation (en)","The ability to perform work on energy grids."
"id-3e4bd79dd6c5454f9b6246452b46818d","Level","2"
"id-3e4bd79dd6c5454f9b6246452b46818d","Code","C.B.1.1"
"id-3e4bd79dd6c5454f9b6246452b46818d","Name (en)","Serve customer for reconstruction"
"id-736013","Level","2"
"id-736013","Name (en)","Financial fact"
"id-736021","Level","2"
"id-736021","Name (en)","Capital and liquidity"
"id-718816","Code","E.1.2"
"id-718816","Level","2"
"id-718816","Name (en)","Align stakeholders"
"id-718816","Documentation (en)","The ability to reconcile the needs of stakeholders and the grid operator."
"id-729560","Level","2"
"id-729560","Name (en)","Disturbance"
"id-736069","Level","2"
"id-736069","Name (en)","Worker"
"id-cd17a07b42d243fcb79973ae6d661a51","Level","2"
"id-cd17a07b42d243fcb79973ae6d661a51","Code","C.F.3.1"
"id-cd17a07b42d243fcb79973ae6d661a51","Name (en)","Measure energy transport"
"id-a35c9230c4054c6d8558a506f5b15472","Level","2"
"id-a35c9230c4054c6d8558a506f5b15472","Code","C.D1.2.1"
"id-a35c9230c4054c6d8558a506f5b15472","Name (en)","Direct maintenance work"
"id-736178","Level","2"
"id-736178","Name (en)","Digital product performance"
"id-0902e04ae45143c88291f7d7718c838f","Level","2"
"id-0902e04ae45143c88291f7d7718c838f","Code","C.D2.5.2"
"id-0902e04ae45143c88291f7d7718c838f","Name (en)","Analyze root cause and direct mitigation"
"id-736531","Code","E.3.4"
"id-736531","Level","2"
"id-736531","Name (en)","Develop employees"
"id-736531","Documentation (en)","The ability to develop employees and evaluate performance. This also includes developing leadership."
"id-729676","Level","2"
"id-729676","Name (en)","Market process"
"id-736150","Level","2"
"id-736150","Name (en)","Transformation"
"id-729651","Level","2"
"id-729651","Name (en)","Revenue loss"
"id-c4d6c3d555c54e498232345fba4af012","Level","2"
"id-c4d6c3d555c54e498232345fba4af012","Code","C.H.1.1"
"id-c4d6c3d555c54e498232345fba4af012","Name (en)","Interact about data product"
"id-dbb68cf96d144aa8b020916d45028df3","Level","2"
"id-dbb68cf96d144aa8b020916d45028df3","Code","C.H.1.3"
"id-dbb68cf96d144aa8b020916d45028df3","Name (en)","Invoice and collect data product"
"id-bf69ae28f68646438e151734580ad186","Level","2"
"id-bf69ae28f68646438e151734580ad186","Code","C.B.3.2"
"id-bf69ae28f68646438e151734580ad186","Name (en)","Perform reconstruction work"
"id-729634","Level","2"
"id-729634","Name (en)","Customer"
"id-736102","Level","2"
"id-736102","Name (en)","Data"
"id-736390","Code","E.6.2"
"id-736390","Level","2"
"id-736390","Name (en)","Manage facilities"
"id-736390","Documentation (en)","The ability to make facilities available."
"id-d1315d315f60479d91716d9711fb382f","Code","C.A.4.1"
"id-d1315d315f60479d91716d9711fb382f","Name (en)","Direct connection work"
"id-d1315d315f60479d91716d9711fb382f","Level","2"
"id-d1823f84a980479d8b344a49ad445d03","Level","2"
"id-d1823f84a980479d8b344a49ad445d03","Code","C.D2.5.1"
"id-d1823f84a980479d8b344a49ad445d03","Name (en)","Integrate replacement through disturbance recovery into energy grid"
"id-e35b126d1cc642b39386e8c881523a51","Level","2"
